Transaction ID,Timestamp,Merchant ID,Cateogory,Company,Aquiring_Bank,City,Amount(INR),Status,Response_msg,Latency_ms
ef5998ce145073a9,2024-02-07 07:25:26.925307245,444984d345,Retail & Apparel,Amazon Pay,Axis Bank,Chennai,15162.44,Success,Transaction Completed Successfully,404
f97b83d628d2433e,2023-06-27 03:02:08.495401477,2a7de69219,Grocery & Supermarkets,Amazon Pay,Axis Bank,Mumbai,14961.92,Failed,Exceeded Daily Limit,216
0b10b8026fb98032,2025-04-18 12:35:25.529868438,c2ab80d805,Food & Dining,CRED,Kotak Mahindra Bank,Mumbai,19867.06,Failed,Invalid PIN,1425
be6b805dc726a802,2024-02-21 09:31:05.602855136,293b19e3eb,Food & Dining,Google Pay,ICICI Bank,Mumbai,32322.17,Failed,Exceeded Daily Limit,624
8b4dcfd698cf18e8,2023-11-13 01:36:08.377772050,02848a2981,Electronics & Appliances,Paytm,HDFC Bank,Mumbai,15329.25,Failed,Insufficient Funds,561
f2f3e758f6aa727d,2025-07-29 15:00:02.783674573,b19a50b1d6,Retail & Apparel,PhonePe,Bank of Baroda,Mumbai,42453.58,Failed,Invalid PIN,507
6de87eecffbf0a5c,2025-11-04 18:50:10.197184606,87dd1a39f3,Food & Dining,Paytm,ICICI Bank,Mumbai,7905.89,Success,Transaction Completed Successfully,834
b952890c94c7d855,2024-04-19 05:05:19.052133240,09aadfe34a,Grocery & Supermarkets,Amazon Pay,ICICI Bank,Delhi NCR,31120.64,Success,Transaction Completed Successfully,254
0b31a161988857e2,2024-10-25 09:30:17.558160373,56dee5cca2,Grocery & Supermarkets,CRED,Axis Bank,Mumbai,5347.64,Failed,Invalid PIN,1310
7e0b1e5efa82140e,2024-08-11 09:44:44.744368551,4ed904e540,Food & Dining,PhonePe,HDFC Bank,Chennai,36521.12,Failed,Invalid PIN,1471
ccd09b27419d6255,2026-07-13 04:54:08.444806258,df0c93f896,Retail & Apparel,Amazon Pay,Axis Bank,Bengaluru,2308.11,Failed,Bank Timed Out,554
8846241d260d5818,2023-07-15 06:36:39.035608817,f292972cc4,Retail & Apparel,Google Pay,ICICI Bank,Mumbai,30378.32,Failed,Insufficient Funds,1482
b105042b6e626297,2025-04-12 08:52:19.314128683,e17a16b04c,Grocery & Supermarkets,Google Pay,State Bank of India,Kolkata,10878.87,Failed,System Error,890
aefee323b1a23bc7,2025-07-07 21:37:40.361408635,9336e31168,Electronics & Appliances,CRED,Axis Bank,Kolkata,31885.59,Failed,Insufficient Funds,1670
3496a6edac3eaa8e,2025-11-30 14:50:16.398046903,1ad8e074cf,Healthcare & Pharmacy,PhonePe,Axis Bank,Chennai,1320.25,Failed,Exceeded Daily Limit,307
13dbfb9130e9e211,2023-11-08 01:18:57.065337669,c7619337b7,Retail & Apparel,Paytm,Axis Bank,Hyderabad,4860.66,Success,Transaction Completed Successfully,890
224171b091223d0d,2026-01-07 16:19:15.137062716,8e8cb97fd7,Healthcare & Pharmacy,Amazon Pay,State Bank of India,Mumbai,24046.54,Failed,System Error,981
d96c9811b56beb84,2023-08-26 13:23:57.609386156,8f9c760df3,Grocery & Supermarkets,Paytm,ICICI Bank,Bengaluru,28303.43,Success,Transaction Completed Successfully,245
91174180f2937137,2023-05-07 10:42:26.707838193,7c720842b0,Retail & Apparel,Paytm,ICICI Bank,Kolkata,336.71,Failed,Bank Timed Out,1276
ce2c5e53b4803e48,2026-05-09 10:05:57.467992335,5522fa97b8,Electronics & Appliances,CRED,State Bank of India,Kolkata,47946.42,Failed,Insufficient Funds,1011
ab759c083b02a767,2023-03-13 02:30:23.669938134,790dad8158,Grocery & Supermarkets,Paytm,Axis Bank,Delhi NCR,31887.75,Failed,System Error,500
c408d0103695e8e3,2026-08-17 12:19:29.912007713,3fe0d77b3e,Food & Dining,BHIM,HDFC Bank,Mumbai,5678.23,Failed,Exceeded Daily Limit,552
0998b558e9140187,2023-02-09 13:38:22.976808999,cf7e2b710c,Grocery & Supermarkets,BHIM,Axis Bank,Chennai,18200.42,Failed,Bank Timed Out,1811
0507982b138d23ae,2023-03-24 01:30:58.347602078,170dedaec9,Retail & Apparel,BHIM,Bank of Baroda,Chennai,4678.8,Success,Transaction Completed Successfully,890
66ed9dbdf67b7aa8,2023-07-26 12:19:27.943016935,b30dd3e682,Food & Dining,Amazon Pay,Bank of Baroda,Hyderabad,41932.33,Failed,Bank Timed Out,842
e191293efaf729d3,2023-10-21 17:31:03.730787663,a52d0c1c05,Grocery & Supermarkets,CRED,HDFC Bank,Mumbai,18810.9,Failed,Insufficient Funds,1176
57f8e40d4f9a68f3,2024-04-15 04:25:07.253177148,f103b5c55c,Electronics & Appliances,Paytm,Axis Bank,Mumbai,42810.03,Failed,Invalid PIN,1534
766f28d5faaa2370,2023-08-09 07:48:03.404182128,bb730de125,Healthcare & Pharmacy,Google Pay,ICICI Bank,Kolkata,38344.61,Failed,Insufficient Funds,834
addec25449bc08a9,2026-08-12 09:38:17.210518091,77c1e6c6de,Food & Dining,CRED,ICICI Bank,Hyderabad,22023.71,Failed,Invalid PIN,890
37c8fca80ea5267c,2025-05-15 02:47:04.719418487,02f8b6192c,Grocery & Supermarkets,Google Pay,State Bank of India,Delhi NCR,27951.45,Failed,System Error,890
6a9b3bd63dcd6a96,2024-06-04 18:58:24.250164478,153cd4a0fe,Electronics & Appliances,BHIM,State Bank of India,Hyderabad,30436.59,Failed,System Error,1852
84e315cd273968e8,2023-11-26 22:49:50.493818748,787a23f526,Food & Dining,Amazon Pay,Kotak Mahindra Bank,Hyderabad,18572.01,Failed,Bank Timed Out,1093
0a3ad9a5077980b0,2025-12-11 02:59:01.014421374,0612b8cc38,Retail & Apparel,Google Pay,ICICI Bank,Kolkata,14656.03,Failed,Bank Timed Out,229
885d466caa21c21e,2025-02-15 21:05:12.689209059,7aea43de63,Electronics & Appliances,Google Pay,Axis Bank,Delhi NCR,13278.23,Failed,Bank Timed Out,1494
ff85213b3781036f,2026-01-16 06:51:56.125341769,bf02d25aed,Retail & Apparel,BHIM,State Bank of India,Delhi NCR,29829.62,Failed,Exceeded Daily Limit,523
38afe50c82229a20,2025-09-12 10:33:14.002097914,a4bbe8191a,Electronics & Appliances,Amazon Pay,ICICI Bank,Kolkata,44148.54,Failed,Exceeded Daily Limit,454
779f59cd55eca891,2023-12-16 10:03:16.382703999,5b01e04609,Food & Dining,Amazon Pay,ICICI Bank,Delhi NCR,27102.87,Failed,Bank Timed Out,890
